generation,average,min,max
237,45188.65617499999,1181.9475000000002,167669.75
238,47365.62647499999,1375.4300000000003,167022.9975
239,42337.669325,2139.335,158727.75
240,42635.3582,1375.4300000000003,164661.94749999998
241,41669.580075,1181.9475000000002,128994.21749999996
242,41683.074325,2327.805,141098.6675
243,43067.86982500001,2139.335,161316.97749999998
244,41963.231475,1181.9475000000002,149929.4425
245,37979.43585,1181.9475000000002,153801.13499999998
246,41884.474949999996,1567.9100000000003,160072.2375
247,40048.971125,1759.3875000000003,174670.30500000002
248,40371.94855,1375.4300000000003,145818.75
249,48321.5262,1375.4300000000003,175234.96
250,45170.11140000001,4686.687499999999,161923.02750000003
